modern_nam;LCD_name;ID;unci;x;y;province;kylaegund;parocchia
Kumma;Compayas;LCD161;10;547917;6534662;Haeriae;;Haccriz
Koeravere;Corauerae;LCD142;8;634833;6570253;Uironia;Laemund;Vov
Mõisaaseme;Coriakiuae;LCD239;6;578255;6564803;Haeriae;;Kolkis
Kõrveküla;Corpius;LCD178;20;612462;6582551;Uironia;Repel [Vir];Toruestaeuaerae
Kose;Cosius;LCD154;9;566736;6561422;Haeriae;;Kolkis
Neeruti;Coskius;LCD251;5;622836;6576725;Uironia;Repel [Vir];Toruestaeuaerae
Kupna;Cupanal;LCD164;18;641397;6570446;Uironia;Laemund;Vov
Tammiku;Damicas;LCD390;9;692316;6582166;Uironia;Alentagh;
Hiietse;Egentakaes;LCD49;5;524191;6545350;;Uomentakae;Keykel
Jõetaguse;Eghontakae;LCD72;24;622291;6578783;Uironia;Repel [Vir];Toruestaeuaerae
Jõgisoo;Ekius;LCD73;12;528876;6570765;;Uomentakae;Keykel
Emumäe;Emomaekae;LCD38;10;636133;6534995;Uironia;Lemmun;Katcaekylae
Engla;Engael;LCD162;10;524924;6577365;;Uomentakae;Keykel
Edise;Eteus;LCD36;5;692353;6586370;Uironia;Alentagh;
Edivere;Ettiauerae;LCD37;5;700883;6573049;Uironia;Alentagh;
Kaberla;Gabriel;LCD86;14;570633;6593014;;Repel;Kusala
Essu;Gesse;LCD40;6;634434;6590516;Uironia;Repel [Vir];Halelae
Jõhvi;Gevi;LCD74;20;693898;6585099;Uironia;Alentagh;
Kulna;Guldan;LCD160;20;519550;6573028;;Uomentakae;Keykel
Kunda;Gundas;LCD163;15;643357;6596722;Uironia;Maum;Maum
Haeimestkilae;Haeimestkilae;LCD29;3;528969;6571912;;Uomentakae;Keykel
Kehala;Haelae;LCD122;40;640806;6571423;Uironia;Laemund;Vov
Härtu;Haermaeto;LCD59;10;550484;6537143;Haeriae;;Haccriz
Hageri;Hakriz;LCD41;6;537260;6557894;Haeriae;;Haccriz
Haljala;Halela;LCD43;14;628725;6590369;Uironia;Repel [Vir];Halelae
Haljava;Halenhabus;LCD44;8;567536;6585107;;Repel;Jeeleth
Amma;Hama;LCD16;12;617681;6589679;Uironia;Repel [Vir];Halelae
Anija;Hanaegus;LCD19;7;573831;6583468;;Repel;Jeeleth
Purila;Hanaras;LCD302;5;549855;6548969;Haeriae;;Juriz
Arangvere;Harandaeuaerae;LCD21;2;547969;6544235;Haeriae;;Haccriz
Ardu;Harco;LCD22;3;578029;6552372;Haeriae;;Kolkis
Harku;Harkua;LCD45;5;532776;6583226;;Uomentakae;Keykel
Aa;Hazae;LCD1;13;679257;6590825;Uironia;Askaelae;
Aavere;Hauaueerae;LCD5;8;572093;6584274;;Repel;Jeeleth
Auküla;Haudis;LCD33;25;623995;6587359;Uironia;Repel [Vir];Halelae
Helda;Helmet;LCD47;7;553416;6543803;Haeriae;;Juriz
Ämari;Hemaeri;LCD478;5;510982;6568495;;Uomentakae;Keykel
Erra;Heraes;LCD39;28;669859;6585455;Uironia;Askaelae;
Härjapea;Hergaenpae;LCD58;3;659579;6590620;Uironia;Maum;Maum
Härgla;Herkial;LCD57;10;551532;6551703;Haeriae;;Juriz
Harmi;Hermae;LCD46;25;568815;6553847;Haeriae;;Kolkis
Hirmuse;Hermaes;LCD51;6;670190;6580454;Uironia;Askaelae;
Sõtke;Hetkyl;LCD490;;522537;6530000;;;
